neighborhood,sqft_living,area_unit,lot_size_sqft,bedrooms,bathrooms,floors,year_built,renovated,condition,grade,garage,basement,pool,school_score,sale_price
Brookhaven,1174.0,sqft,4231.0,2,1.0,3.0,,No,4,7,Y,Y,N,6.0,$287.7K
Cedar Falls,2089.0,sqft,2880.0,4,3.0,2.0,1992.0,No,5,5,N,Y,N,7.0,289600.0
Old Mill District,1517.0,sqft,3393.0,3,3.0,1.0,2020.0,No,3,7,Y,N,N,7.0,403100.0
Harbor Point,1992.0,sqft,6197.0,3,2.5,1.0,2002.0,No,4,9,N,N,N,6.0,664400.0
Maple Grove,1632.0,sqft,4858.0,3,2.5,1.0,1978.0,Yes,3,10,Y,N,N,4.0,$259.1K
Cedar Falls,1572.0,sqft,5336.0,3,2.0,2.5,1953.0,Yes,2,4,N,N,N,6.0,187200.0
Cedar Falls,1574.0,sqft,4666.0,1,1.0,1.0,1959.0,No,5,6,Y,N,N,7.0,$176.4K
Harbor Point,1629.0,sqft,4033.0,1,1.0,2.0,1976.0,No,4,4,Y,Y,N,,$452.5K
Maple Grove,2733.0,sqft,5803.0,4,3.5,2.0,1924.0,Yes,5,10,Y,N,Y,3.0,358800.0
Sunridge,3147.0,sqft,8100.0,5,3.5,2.0,2003.0,No,3,5,Y,Y,N,6.0,344900.0
Harbor Point,1815.0,sqft,5872.0,3,2.5,3.0,1989.0,Yes,1,4,Y,N,N,4.0,$540.0K
Sunridge,1823.0,sqft,6965.0,3,2.0,1.5,2020.0,No,4,10,N,N,N,8.0,231100.0
Northgate,2848.0,sqft,5510.0,4,2.5,1.0,1929.0,No,2,8,Y,N,N,4.0,216800.0
Cedar Falls,1743.0,sqft,2159.0,4,3.0,2.0,2020.0,No,4,3,Y,Y,N,8.0,$233.3K
Sunridge,1535.0,sqft,3135.0,3,2.5,3.0,2016.0,No,5,6,Y,N,N,6.0,180100.0
Brookhaven,120.3,sqm,4470.0,1,1.0,1.0,1989.0,No,4,3,Y,N,N,5.0,226200.0
Old Mill District,3234.0,sqft,6023.0,4,4.0,1.0,1967.0,Yes,4,5,N,Y,N,7.0,$808.2K
Cedar Falls,956.0,sqft,1203.0,1,1.0,1.0,1964.0,No,3,7,Y,N,N,5.0,$114.6K
Cedar Falls,2872.0,sqft,6793.0,4,2.5,2.5,1945.0,Yes,5,8,N,N,N,,340300.0
Brookhaven,1782.0,sqft,4813.0,3,3.0,2.0,2001.0,No,3,6,Y,N,N,9.0,$338.7K
Riverside Park,1165.0,sqft,2366.0,3,2.5,2.0,1959.0,Yes,3,10,Y,N,N,6.0,182900.0
Maple Grove,219.1,sqm,8512.0,4,3.5,1.0,1984.0,Yes,5,8,Y,N,N,9.0,426600.0
Brookhaven,1059.0,sqft,1552.0,2,2.0,2.0,1946.0,No,3,8,N,N,N,5.0,$175.3K
Maple Grove,2089.0,sqft,4955.0,3,2.5,1.0,1996.0,No,3,10,Y,Y,N,,$377.1K
Cedar Falls,1366.0,sqft,5219.0,2,2.0,1.5,1995.0,No,4,9,Y,N,N,2.0,209100.0
Northgate,250.9,sqm,9483.0,3,1.5,1.5,,No,4,5,Y,N,N,5.0,$209.6K
Brookhaven,1939.0,sqft,2817.0,3,2.5,1.0,1989.0,Yes,4,9,N,N,Y,6.0,497100.0
Cedar Falls,82.3,sqm,3170.0,1,1.0,3.0,1932.0,No,4,9,Y,Y,N,6.0,120700.0
